name,value,year,rank
Coca-Cola,69393.8000000003,2017.1,4
IBM,69387.2000000005,2010.9,2
IBM,69384.3999999994,2014.4,4
Coca-Cola,69360.1999999999,2001.6,1
Coca-Cola,69304.1999999997,2000.9,1
Coca-Cola,69291.0,2001.5,1
Coca-Cola,69249.3999999999,2009.3,1
Coca-Cola,69229.3999999997,2003.4,1
Coca-Cola,69221.8000000001,2001.4,1
Microsoft,69207.4999999998,2015.3,4
Microsoft,69170.3999999998,2000.2,2
Coca-Cola,69152.6,2001.3,1
Coca-Cola,69083.4,2001.2,1
Coca-Cola,69077.6000000001,2009.2,1
Coca-Cola,69054.5999999998,2017.2,5
Coca-Cola,69014.1999999999,2001.1,1
Coca-Cola,68945.0,2001.0,1
Coca-Cola,68923.5,2003.5,1
Coca-Cola,68905.7999999998,2009.1,1
IBM,68869.3999999998,2010.8,2
Coca-Cola,68734.0,2009.0,1
Coca-Cola,68715.4000000002,2017.3,5
Microsoft,68695.0000000002,2015.2,4
IBM,68669.5,2014.5,4
Microsoft,68657.6000000002,2000.3,2
Coca-Cola,68617.6000000003,2003.6,1
Coca-Cola,68527.3000000002,2008.9,1
Amazon,68392.7999999967,2017.1,5
Coca-Cola,68376.1999999997,2017.4,5
IBM,68351.6000000002,2010.7,2
Coca-Cola,68320.5999999999,2008.8,1
Coca-Cola,68311.6999999999,2003.7,1
Google,68285.1000000013,2011.9,4
Microsoft,68182.4999999995,2015.1,4
Microsoft,68144.7999999995,2000.4,2
Coca-Cola,68113.9000000001,2008.7,1
Coca-Cola,68037.0,2017.5,5
Coca-Cola,68005.8000000001,2003.8,1
IBM,67954.6000000006,2014.6,4
Apple,67952.799999998,2011.8,3
Coca-Cola,67907.1999999998,2008.6,1
IBM,67833.7999999995,2010.6,2
Coca-Cola,67700.5,2008.5,1
Coca-Cola,67699.8999999997,2003.9,1
Coca-Cola,67697.8000000003,2017.6,5
Microsoft,67670.0,2015.0,4
Microsoft,67632.0,2000.5,2
Coca-Cola,67525.0,2005.0,1
Coca-Cola,67511.9,2004.9,1
Coca-Cola,67498.8,2004.8,1
Coca-Cola,67493.8000000002,2008.4,1
Coca-Cola,67485.7,2004.7,1
Coca-Cola,67472.6,2004.6,1
Coca-Cola,67472.5,2005.1,1
Coca-Cola,67459.5,2004.5,1
Coca-Cola,67446.4,2004.4,1
Coca-Cola,67433.3,2004.3,1
Coca-Cola,67420.2,2004.2,1
